measurement_id,sensor,measured_at,humdity,weather_measured_at,weather_himidity,weather_precipitation,weather_cloud,weather_temperature,weather_uv_index,weather_pressure
73,MAIN,2023-04-18 15:53:41.574135,39.967,2023-04-18 15:45:00.000000,55,0.0,25,14.0,3.0,1025.00
74,MAIN,2023-04-18 15:58:43.051105,40.083,2023-04-18 15:45:00.000000,55,0.0,25,14.0,3.0,1025.00
75,MAIN,2023-04-18 16:03:44.586642,40.167,2023-04-18 16:00:00.000000,55,0.0,0,14.0,4.0,1025.00
76,MAIN,2023-04-18 16:08:46.053279,40.133,2023-04-18 16:00:00.000000,55,0.0,25,14.0,4.0,1025.00
77,MAIN,2023-04-18 16:13:47.546052,48.117,2023-04-18 16:00:00.000000,55,0.0,25,14.0,4.0,1025.00
78,MAIN,2023-04-18 16:18:49.099609,47.933,2023-04-18 16:15:00.000000,55,0.0,0,14.0,4.0,1025.00
79,MAIN,2023-04-18 16:23:50.811792,48.150,2023-04-18 16:15:00.000000,55,0.0,0,14.0,4.0,1025.00
80,MAIN,2023-04-18 16:28:52.760277,47.267,2023-04-18 16:15:00.000000,55,0.0,0,14.0,4.0,1025.00
81,MAIN,2023-04-18 16:33:54.580121,47.033,2023-04-18 16:30:00.000000,55,0.0,25,14.0,4.0,1025.00
82,MAIN,2023-04-18 16:38:56.377125,47.217,2023-04-18 16:30:00.000000,55,0.0,25,14.0,4.0,1025.00
83,MAIN,2023-04-18 16:43:58.120555,46.983,2023-04-18 16:30:00.000000,59,0.0,75,14.0,4.0,1025.00
84,MAIN,2023-04-18 16:49:00.051576,46.750,2023-04-18 16:45:00.000000,55,0.0,25,14.0,4.0,1025.00
85,MAIN,2023-04-18 16:54:01.804947,47.317,2023-04-18 16:45:00.000000,55,0.0,25,14.0,4.0,1025.00
86,MAIN,2023-04-18 16:59:03.562350,46.833,2023-04-18 16:45:00.000000,55,0.0,25,14.0,4.0,1025.00
87,MAIN,2023-04-18 17:04:18.908215,46.883,2023-04-18 17:00:00.000000,55,0.0,25,14.0,3.0,1025.00
88,MAIN,2023-04-18 17:09:06.379025,46.683,2023-04-18 17:00:00.000000,55,0.0,25,14.0,3.0,1025.00
89,MAIN,2023-04-18 17:14:08.101034,46.650,2023-04-18 17:00:00.000000,59,0.0,75,14.0,1.0,1025.00
90,MAIN,2023-04-18 17:19:09.959492,46.500,2023-04-18 17:15:00.000000,59,0.0,0,14.0,3.0,1025.00
91,MAIN,2023-04-18 17:24:11.746688,46.367,2023-04-18 17:15:00.000000,59,0.0,0,14.0,3.0,1025.00
92,MAIN,2023-04-18 17:29:13.512530,46.700,2023-04-18 17:15:00.000000,59,0.0,0,14.0,3.0,1025.00
93,MAIN,2023-04-18 17:34:15.300967,46.317,2023-04-18 17:30:00.000000,59,0.0,0,14.0,3.0,1025.00
94,MAIN,2023-04-18 17:39:17.081521,46.633,2023-04-18 17:30:00.000000,62,0.0,0,13.0,3.0,1025.00
95,MAIN,2023-04-18 17:44:18.990343,46.583,2023-04-18 17:30:00.000000,59,0.0,0,14.0,3.0,1025.00
96,MAIN,2023-04-18 17:49:20.723237,46.367,2023-04-18 17:45:00.000000,59,0.0,0,14.0,3.0,1025.00
97,MAIN,2023-04-18 17:54:22.494375,46.667,2023-04-18 17:45:00.000000,59,0.0,0,14.0,3.0,1025.00
98,MAIN,2023-04-18 17:59:24.271128,46.067,2023-04-18 17:45:00.000000,59,0.0,0,14.0,3.0,1025.00
99,MAIN,2023-04-18 18:04:26.087723,46.383,2023-04-18 18:00:00.000000,59,0.0,0,14.0,3.0,1025.00
100,MAIN,2023-04-18 18:09:27.814494,46.167,2023-04-18 18:00:00.000000,59,0.0,0,14.0,3.0,1025.00
101,MAIN,2023-04-18 18:14:29.603823,46.233,2023-04-18 18:00:00.000000,59,0.0,0,14.0,3.0,1025.00
102,MAIN,2023-04-18 18:19:31.387819,46.433,2023-04-18 18:15:00.000000,58,0.0,0,13.0,3.0,1025.00
103,MAIN,2023-04-18 18:24:33.146508,46.383,2023-04-18 18:15:00.000000,58,0.0,0,13.0,3.0,1025.00
104,MAIN,2023-04-18 18:29:34.934595,46.517,2023-04-18 18:15:00.000000,62,0.0,0,13.0,3.0,1025.00
105,MAIN,2023-04-18 18:34:36.933008,46.433,2023-04-18 18:30:00.000000,62,0.0,0,13.0,3.0,1025.00
106,MAIN,2023-04-18 18:39:38.695206,45.817,2023-04-18 18:30:00.000000,62,0.0,0,13.0,3.0,1025.00
107,MAIN,2023-04-18 18:44:40.455672,45.983,2023-04-18 18:30:00.000000,62,0.0,0,13.0,3.0,1025.00
108,MAIN,2023-04-18 18:49:42.225528,45.850,2023-04-18 18:45:00.000000,62,0.0,0,13.0,3.0,1025.00
109,MAIN,2023-04-18 18:54:44.153685,46.050,2023-04-18 18:45:00.000000,62,0.0,0,13.0,3.0,1025.00
110,MAIN,2023-04-18 18:59:45.893629,46.017,2023-04-18 18:45:00.000000,62,0.0,0,13.0,3.0,1025.00
111,MAIN,2023-04-18 19:04:47.906307,45.917,2023-04-18 19:00:00.000000,62,0.0,0,13.0,1.0,1025.00
112,MAIN,2023-04-18 19:09:49.787619,45.650,2023-04-18 19:00:00.000000,62,0.0,0,13.0,1.0,1025.00
113,MAIN,2023-04-18 19:14:51.639695,45.833,2023-04-18 19:00:00.000000,62,0.0,0,13.0,1.0,1025.00
114,MAIN,2023-04-18 19:19:53.442328,45.900,2023-04-18 19:15:00.000000,67,0.0,0,12.0,1.0,1025.00
115,MAIN,2023-04-18 19:24:55.188723,45.700,2023-04-18 19:15:00.000000,67,0.0,0,12.0,1.0,1025.00
116,MAIN,2023-04-18 19:29:56.969734,45.567,2023-04-18 19:15:00.000000,67,0.0,0,12.0,1.0,1025.00
117,MAIN,2023-04-18 19:34:58.769362,45.700,2023-04-18 19:30:00.000000,67,0.0,0,12.0,1.0,1025.00
118,MAIN,2023-04-18 19:40:00.632041,45.617,2023-04-18 19:30:00.000000,66,0.0,0,11.0,1.0,1026.00
119,MAIN,2023-04-18 19:45:02.388307,45.317,2023-04-18 19:30:00.000000,67,0.0,0,12.0,1.0,1025.00
120,MAIN,2023-04-18 19:50:04.628282,45.550,2023-04-18 19:45:00.000000,67,0.0,0,12.0,1.0,1025.00
121,MAIN,2023-04-18 19:55:06.514325,45.433,2023-04-18 19:45:00.000000,67,0.0,0,12.0,1.0,1025.00
122,MAIN,2023-04-18 20:00:08.362855,45.433,2023-04-18 20:00:00.000000,67,0.0,0,12.0,1.0,1025.00
123,MAIN,2023-04-18 20:05:10.210972,45.233,2023-04-18 20:00:00.000000,67,0.0,0,12.0,1.0,1025.00
124,MAIN,2023-04-18 20:10:12.022578,45.017,2023-04-18 20:00:00.000000,67,0.0,0,12.0,1.0,1025.00
125,MAIN,2023-04-18 20:15:13.762509,45.417,2023-04-18 20:00:00.000000,67,0.0,0,12.0,1.0,1025.00
126,MAIN,2023-04-18 20:20:15.631453,45.500,2023-04-18 20:15:00.000000,66,0.0,0,11.0,1.0,1026.00
127,MAIN,2023-04-18 20:25:17.434421,45.250,2023-04-18 20:15:00.000000,66,0.0,0,11.0,1.0,1026.00
128,MAIN,2023-04-18 20:30:19.222974,45.117,2023-04-18 20:30:00.000000,66,0.0,0,11.0,1.0,1026.00
129,MAIN,2023-04-18 20:35:21.107165,45.217,2023-04-18 20:30:00.000000,66,0.0,75,11.0,1.0,1026.00
130,MAIN,2023-04-18 20:40:22.841625,44.917,2023-04-18 20:30:00.000000,66,0.0,25,11.0,1.0,1026.00
131,MAIN,2023-04-18 20:45:24.642900,44.833,2023-04-18 20:45:00.000000,66,0.0,25,11.0,1.0,1026.00
132,MAIN,2023-04-18 20:50:26.541986,44.733,2023-04-18 20:45:00.000000,66,0.0,25,11.0,1.0,1026.00
133,MAIN,2023-04-18 20:55:28.548531,45.000,2023-04-18 20:45:00.000000,66,0.0,25,11.0,1.0,1026.00
