measurement_id,measured_at,s1_humidity,s2_humidity,s3_humidity,weather_measured_at,weather_humidity,weather_precipitation,weather_cloud,weather_temperature,weather_uv_index,weather_pressure
22288,2023-06-06 15:31:18.631700,59.060,167.460,70.750,2023-06-06 15:30:00.000000,34,0.0,0,25.0,5.0,1018.00
22285,2023-06-06 15:26:16.913879,59.610,167.590,70.800,2023-06-06 15:15:00.000000,30,0.0,0,26.0,5.0,1018.00
22282,2023-06-06 15:21:15.136985,59.030,167.530,70.740,2023-06-06 15:15:00.000000,30,0.0,0,26.0,5.0,1018.00
22279,2023-06-06 15:16:13.456169,59.890,167.490,70.780,2023-06-06 15:15:00.000000,30,0.0,0,26.0,5.0,1018.00
22276,2023-06-06 15:11:11.770897,58.970,167.360,70.460,2023-06-06 15:00:00.000000,32,0.0,0,26.0,5.0,1018.00
22273,2023-06-06 15:06:10.072682,59.000,167.240,70.720,2023-06-06 15:00:00.000000,34,0.0,0,25.0,5.0,1018.00
22270,2023-06-06 15:01:08.293369,59.690,167.420,70.220,2023-06-06 14:45:00.000000,34,0.0,0,25.0,6.0,1018.00
22267,2023-06-06 14:56:06.626848,59.530,167.500,70.140,2023-06-06 14:45:00.000000,32,0.0,0,26.0,6.0,1018.00
22264,2023-06-06 14:51:04.948362,59.290,167.580,70.200,2023-06-06 14:45:00.000000,32,0.0,0,26.0,6.0,1018.00
22261,2023-06-06 14:46:03.310840,59.480,167.440,69.950,2023-06-06 14:45:00.000000,32,0.0,0,26.0,6.0,1018.00
22258,2023-06-06 14:41:01.516031,59.750,167.410,70.040,2023-06-06 14:30:00.000000,34,0.0,0,25.0,6.0,1018.00
22255,2023-06-06 14:35:59.828629,60.020,167.540,70.190,2023-06-06 14:30:00.000000,32,0.0,0,26.0,6.0,1018.00
22252,2023-06-06 14:30:58.172549,60.180,167.110,69.900,2023-06-06 14:30:00.000000,32,0.0,0,26.0,6.0,1018.00
22249,2023-06-06 14:25:56.482885,59.990,167.410,70.040,2023-06-06 14:15:00.000000,28,0.0,0,26.0,6.0,1018.00
22246,2023-06-06 14:20:54.805604,60.330,167.340,69.920,2023-06-06 14:15:00.000000,37,0.0,0,26.0,6.0,1018.00
22243,2023-06-06 14:15:53.146359,60.520,167.580,69.570,2023-06-06 14:00:00.000000,30,0.0,0,26.0,6.0,1018.00
22240,2023-06-06 14:10:51.362167,60.090,167.330,69.530,2023-06-06 14:00:00.000000,34,0.0,0,25.0,6.0,1018.00
22237,2023-06-06 14:05:49.688732,60.550,167.540,69.150,2023-06-06 14:00:00.000000,34,0.0,0,25.0,6.0,1018.00
22234,2023-06-06 14:00:48.008121,60.230,167.150,68.800,2023-06-06 14:00:00.000000,34,0.0,0,25.0,6.0,1018.00
22231,2023-06-06 13:55:46.119891,60.340,167.310,69.330,2023-06-06 13:45:00.000000,34,0.0,0,25.0,7.0,1018.00
22228,2023-06-06 13:50:46.856502,60.320,167.330,69.830,2023-06-06 13:45:00.000000,34,0.0,0,25.0,7.0,1018.00
22225,2023-06-06 13:45:44.644703,60.730,167.230,70.420,2023-06-06 13:45:00.000000,34,0.0,0,25.0,7.0,1018.00
22222,2023-06-06 13:40:42.951468,61.100,167.500,71.110,2023-06-06 13:30:00.000000,34,0.0,0,25.0,7.0,1018.00
22219,2023-06-06 13:35:41.280364,61.120,167.670,71.290,2023-06-06 13:30:00.000000,34,0.0,0,25.0,7.0,1018.00
22216,2023-06-06 13:30:39.613336,61.270,167.530,71.120,2023-06-06 13:30:00.000000,39,0.0,0,25.0,7.0,1019.00
22213,2023-06-06 13:25:37.921396,60.810,167.280,70.530,2023-06-06 13:15:00.000000,32,0.0,0,26.0,7.0,1018.00
22210,2023-06-06 13:20:36.184495,61.030,167.420,69.970,2023-06-06 13:15:00.000000,32,0.0,0,26.0,7.0,1018.00
22207,2023-06-06 13:15:34.422553,60.930,167.540,70.190,2023-06-06 13:15:00.000000,39,0.0,0,25.0,7.0,1019.00
22204,2023-06-06 13:10:32.500742,61.000,167.250,70.400,2023-06-06 13:00:00.000000,47,0.0,0,24.0,7.0,1019.00
22201,2023-06-06 13:05:30.839388,61.040,167.530,70.650,2023-06-06 13:00:00.000000,47,0.0,0,24.0,7.0,1019.00
22198,2023-06-06 13:00:29.152029,61.340,167.290,70.320,2023-06-06 13:00:00.000000,47,0.0,0,24.0,7.0,1019.00
22195,2023-06-06 12:55:27.492579,61.730,167.470,70.630,2023-06-06 12:45:00.000000,47,0.0,0,24.0,7.0,1019.00
22192,2023-06-06 12:50:25.801898,62.090,167.530,70.450,2023-06-06 12:45:00.000000,39,0.0,0,25.0,7.0,1019.00
